timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
1766591378.310028,-0.02656996250152589,0.03683476150035858,-0.012079715728759766,0.1526142805814743,0.04010298103094101,0.004207300953567028
1766591378.3193889,-0.011644065380096432,0.02854406088590622,0.0030478835105895987,0.10889772325754166,0.01990375295281411,0.03400557488203049
1766591378.339466,-0.015970706939697266,0.026417501270771037,-0.005913078784942627,-0.27321213483810425,-0.02604631334543228,0.5364002585411072
1766591378.359363,-0.013671040534973145,-0.012330994009971622,-0.04845619201660156,0.04800894111394881,-0.1283189207315445,0.26222628355026245
1766591378.3793092,-0.03689873218536377,0.007450930774211881,-0.04293543100357057,0.08593758195638657,0.043650105595588684,0.006274135783314705
1766591378.399262,-0.01040339469909668,-0.0070898085832595825,0.02447378635406494,0.05985228344798088,0.0003764724824577571,0.015376834198832517
1766591378.420875,-0.004353582859039305,-0.02808362990617752,0.06151473522186279,-0.030660739168524742,-0.023455653339624405,0.009717505425214767
1766591378.439296,-0.012022256851196286,-0.00977114588022232,0.04553276300430299,-0.07740041613578796,-0.012426888570189473,0.0025792396627366543
1766591378.459179,-0.022826015949249268,-0.01806451380252839,0.017939329147338867,-0.025204619392752647,0.00856393296271563,-0.015898611396551125
1766591378.4791942,-0.02105337381362915,-0.04006493091583252,0.008729338645935062,0.06076778098940849,0.01585848443210125,0.003194474382326007
1766591378.499172,0.0011520981788635254,-0.003274500370025636,0.04886293411254883,0.0454636886715889,0.014010402373969555,-0.008769222535192966
1766591378.519112,-0.01795774698257447,-0.045337282121181474,0.048328280448913574,-0.0050771143287420255,-0.005877304822206499,-0.028184784576296817
1766591378.539281,0.0015358924865722656,-0.006569698452949524,0.03945767879486084,0.06117977201938629,-0.02210993506014347,-0.0016159935621544719
1766591378.559365,0.014263570308685308,0.028942644596099854,0.043701350688934326,0.11912336945533752,-0.03188541904091835,0.04947641491889955
1766591378.5790071,0.023643076419830322,0.04802032560110091,0.06216633319854736,0.0826263427734375,-0.0693596601486206,0.11670992523431778
1766591378.599127,0.03249013423919676,0.057965733110904714,0.05595940351486206,0.10524789988994598,-0.07308859378099442,0.15308503806591034
1766591378.619133,0.013719737529754644,0.02373991161584854,0.01735055446624756,0.16106033325195312,-0.06357380747795105,0.15962938964366913
1766591378.639017,-0.021915435791015625,-0.008984245359897614,-0.017596006393432617,0.2521958649158478,-0.028805658221244812,0.154286190867424
1766591378.658869,-0.04995906352996826,-0.025936901569366455,-0.006227672100067137,0.24977917969226837,-0.04379058629274368,0.10993080586194992
1766591378.6788259,-0.07251471281051633,-0.08871477842330935,0.008198738098144531,0.35615232586860657,-0.04876945912837982,0.10375719517469406
1766591378.6988292,-0.08764910697937009,-0.07765606790781021,0.02512502670288086,0.5692135691642761,-0.07595419138669968,0.10717814415693283
1766591378.718727,-0.15242105722427368,-0.07705182582139972,0.06780350208282471,0.8182042837142944,-0.09132876247167587,0.0783860832452774
1766591378.738795,-0.24014675617218018,-0.0919899120926857,0.10166233777999878,1.03257417678833,-0.1210123598575592,0.029603103175759315
